 0.112500E-01  0.120179E+04  0.140064E+02
 0.118590E-01  0.118570E+04  0.995607E+01
 0.124670E-01  0.118024E+04  0.785811E+01
 0.130750E-01  0.116961E+04  0.824329E+01
 0.136830E-01  0.115606E+04  0.887819E+01
 0.142910E-01  0.113548E+04  0.676893E+01
 0.148990E-01  0.111901E+04  0.613357E+01
 0.155070E-01  0.109998E+04  0.630603E+01
 0.161150E-01  0.108411E+04  0.587479E+01
 0.167240E-01  0.106049E+04  0.548214E+01
 0.173320E-01  0.103938E+04  0.522118E+01
 0.179400E-01  0.101839E+04  0.533254E+01
 0.185480E-01  0.997975E+03  0.481896E+01
 0.191560E-01  0.973811E+03  0.490792E+01
 0.197640E-01  0.954304E+03  0.540171E+01
 0.203720E-01  0.934413E+03  0.438919E+01
 0.209800E-01  0.909789E+03  0.369364E+01
 0.215890E-01  0.890902E+03  0.367151E+01
 0.221970E-01  0.872586E+03  0.331078E+01
 0.228050E-01  0.852887E+03  0.315740E+01
 0.234130E-01  0.835232E+03  0.306751E+01
 0.240210E-01  0.815828E+03  0.297586E+01
 0.246290E-01  0.793834E+03  0.303360E+01
 0.252370E-01  0.774737E+03  0.306721E+01
 0.258450E-01  0.755197E+03  0.285903E+01
 0.264540E-01  0.736914E+03  0.278241E+01
 0.270620E-01  0.717245E+03  0.266342E+01
 0.276700E-01  0.701277E+03  0.261281E+01
 0.282780E-01  0.681789E+03  0.275790E+01
 0.288860E-01  0.665296E+03  0.278626E+01
 0.294940E-01  0.648970E+03  0.249897E+01
 0.301020E-01  0.631456E+03  0.228067E+01
 0.307100E-01  0.613258E+03  0.218445E+01
 0.313190E-01  0.594592E+03  0.217332E+01
 0.319270E-01  0.576491E+03  0.203837E+01
 0.325350E-01  0.559521E+03  0.188169E+01
 0.331430E-01  0.544199E+03  0.180150E+01
 0.337510E-01  0.526750E+03  0.183637E+01
 0.343590E-01  0.511300E+03  0.182675E+01
 0.349670E-01  0.495230E+03  0.180130E+01
 0.355750E-01  0.482833E+03  0.175901E+01
 0.361840E-01  0.468197E+03  0.173348E+01
 0.367920E-01  0.455572E+03  0.158373E+01
 0.374000E-01  0.440770E+03  0.155393E+01
 0.380080E-01  0.426164E+03  0.165535E+01
 0.386160E-01  0.412764E+03  0.173413E+01
 0.392240E-01  0.400071E+03  0.158699E+01
 0.398320E-01  0.388349E+03  0.151341E+01
 0.404400E-01  0.376375E+03  0.151616E+01
 0.410490E-01  0.365074E+03  0.145938E+01
 0.416570E-01  0.352864E+03  0.137142E+01
 0.422650E-01  0.341300E+03  0.132460E+01
 0.428730E-01  0.328990E+03  0.129801E+01
 0.434810E-01  0.317425E+03  0.129669E+01
 0.440890E-01  0.306338E+03  0.119036E+01
 0.446970E-01  0.295107E+03  0.109291E+01
 0.453050E-01  0.285635E+03  0.103308E+01
 0.459140E-01  0.276356E+03  0.103949E+01
 0.465220E-01  0.267645E+03  0.986467E+00
 0.471300E-01  0.258385E+03  0.100870E+01
 0.477380E-01  0.248188E+03  0.106753E+01
 0.483460E-01  0.238653E+03  0.110628E+01
 0.489540E-01  0.230630E+03  0.112265E+01
 0.495620E-01  0.222060E+03  0.109637E+01
 0.501700E-01  0.213569E+03  0.102645E+01
 0.507790E-01  0.206323E+03  0.967198E+00
 0.513870E-01  0.198883E+03  0.101997E+01
 0.519950E-01  0.191025E+03  0.100832E+01
 0.526030E-01  0.184117E+03  0.982288E+00
 0.532110E-01  0.177337E+03  0.915001E+00
 0.538190E-01  0.170655E+03  0.838408E+00
 0.544270E-01  0.164414E+03  0.799044E+00
 0.550350E-01  0.158003E+03  0.768208E+00
 0.556440E-01  0.152165E+03  0.726648E+00
 0.562520E-01  0.146526E+03  0.682722E+00
 0.568600E-01  0.140781E+03  0.734035E+00
 0.574680E-01  0.135022E+03  0.738477E+00
 0.580760E-01  0.129297E+03  0.739923E+00
 0.586840E-01  0.123598E+03  0.797928E+00
 0.592920E-01  0.119006E+03  0.761626E+00
 0.599000E-01  0.114749E+03  0.727916E+00
 0.605090E-01  0.110634E+03  0.684696E+00
 0.611170E-01  0.106733E+03  0.659661E+00
 0.617250E-01  0.102054E+03  0.671495E+00
 0.623330E-01  0.971796E+02  0.660765E+00
 0.629410E-01  0.932302E+02  0.625334E+00
 0.635490E-01  0.894739E+02  0.602491E+00
 0.641570E-01  0.862882E+02  0.608543E+00
 0.647650E-01  0.826773E+02  0.597449E+00
 0.653740E-01  0.784918E+02  0.613028E+00
 0.659820E-01  0.749453E+02  0.567285E+00
 0.665900E-01  0.720929E+02  0.569888E+00
 0.671980E-01  0.698134E+02  0.581158E+00
 0.678060E-01  0.671058E+02  0.540508E+00
 0.684140E-01  0.641748E+02  0.522080E+00
 0.690220E-01  0.615239E+02  0.505162E+00
 0.696300E-01  0.592540E+02  0.501477E+00
 0.702380E-01  0.568188E+02  0.510872E+00
 0.708470E-01  0.543425E+02  0.535330E+00
 0.714550E-01  0.527173E+02  0.353331E+00
 0.720630E-01  0.508840E+02  0.308077E+00
 0.726710E-01  0.487379E+02  0.298092E+00
 0.732790E-01  0.468905E+02  0.291304E+00
 0.738870E-01  0.452652E+02  0.282251E+00
 0.744950E-01  0.437099E+02  0.273125E+00
 0.751030E-01  0.424863E+02  0.275838E+00
 0.757120E-01  0.410586E+02  0.307667E+00
 0.763200E-01  0.394786E+02  0.493818E+00
 0.769280E-01  0.380380E+02  0.817960E+00
 0.775360E-01  0.367373E+02  0.776664E+00
 0.781440E-01  0.354781E+02  0.459861E+00
 0.787520E-01  0.342747E+02  0.340168E+00
